Rank,Name,Level,Mode,Power,Class,Skills
1,cArn,100,[Dead] Hardcore,772,Barbarian,"Lunging Strike, Whirlwind, Challenging Shout, Rallying Cry, War Cry, Wrath of the Berserker"
2,COCOBEAR,100,Hardcore,777,Druid,"Earth Spike, Landslide, Earthen Bulwark, Debilitating Roar, Poison Creeper, Trample"
3,Zizaran,100,Hardcore,771,Sorcerer,"Ice Shards, Deep Freeze, Frost Nova, Teleport, Flame Shield, Ice Armor"
4,Steelmage,100,Hardcore,753,Sorcerer,"Ice Shards, Inferno, Teleport, Flame Shield, Ice Armor, Frost Nova"
5,wudijo,100,[Dead] Hardcore,801,Rogue,"Puncture, Twisting Blades, Poison Trap, Dark Shroud, Shadow Step, Poison Imbuement"
6,SpinnyWinny,100,Hardcore,797,Barbarian,"Hammer of the Ancients, Flay, Rallying Cry, War Cry, Challenging Shout, Call of the Ancients"
7,Snatat,100,Hardcore,799,Barbarian,"Frenzy, Death Blow, Challenging Shout, Rallying Cry, War Cry, Attack"
8,shroud,100,[Dead] Hardcore,814,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Debilitating Roar, Trample, Grizzly Rage"
9,Pendor,100,Hardcore,758,Barbarian,"Whirlwind, War Cry, Wrath of the Berserker, Lunging Strike, Rallying Cry, Challenging Shout"
10,NICbestduoqc,100,[Dead] Hardcore,765,Sorcerer,"Inferno, Ice Shards, Teleport, Ice Armor, Frost Nova, Flame Shield"
11,DAKbestduoqc,100,Hardcore,776,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Wrath of the Berserker, Challenging Shout"
12,Djoula,100,Hardcore,812,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Debilitating Roar, Grizzly Rage, Trample"
13,Nyx,100,Hardcore,794,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Debilitating Roar, Trample, Grizzly Rage"
14,Rakin,100,[Dead] Hardcore,803,Druid,"Earth Spike, Pulverize, Trample, Earthen Bulwark, Debilitating Roar, Grizzly Rage"
15,Floquinhoxd,100,Hardcore,803,Sorcerer,"Inferno, Ice Shards, Teleport, Flame Shield, Frost Nova, Ice Armor"
16,MardukTV,100,[Dead] Hardcore,805,Sorcerer,"Fire Bolt, Ice Shards, Flame Shield, Teleport, Frost Nova, Inferno"
17,Speedoz,100,[Dead] Hardcore,793,Barbarian,"Lunging Strike, Whirlwind, Challenging Shout, Rallying Cry, War Cry, Wrath of the Berserker"
18,Keksick,100,Hardcore,811,Necromancer,"Bone Splinters, Bone Spear, Decrepify, Blood Mist, Bone Storm, Golem"
19,silenceTV,100,[Dead] Hardcore,812,Druid,"Earth Spike, Pulverize, Trample, Earthen Bulwark, Debilitating Roar, Grizzly Rage"
20,Effortless,100,[Dead] Hardcore,781,Sorcerer,"Arc Lash, Flame Shield, Teleport, Ice Armor, Frost Nova, Unstable Currents"
21,POEenjoyer,100,Hardcore,802,Barbarian,"Lunging Strike, Hammer of the Ancients, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
22,Krathos,100,[Dead] Hardcore,793,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Grizzly Rage, Debilitating Roar, Trample"
23,Aggani,100,[Dead] Hardcore,817,Rogue,"Forceful Arrow, Penetrating Shot, Shadow Step, Shadow Imbuement, Poison Trap, Poison Imbuement"
24,ImmortalSorc,100,Hardcore,804,Sorcerer,"Frost Nova, Ice Shards, Teleport, Ice Armor, Flame Shield, Meteor"
25,Draksou,100,Hardcore,777,Rogue,"Puncture, Twisting Blades, Poison Trap, Death Trap, Concealment, Shadow Step"
26,Blickter,100,Hardcore,781,Barbarian,"Frenzy, Whirlwind, Challenging Shout, Rallying Cry, War Cry, Wrath of the Berserker"
27,Zilenn,100,[Dead] Hardcore,819,Sorcerer,"Ice Armor, Blizzard, Teleport, Flame Shield, Frost Nova, Deep Freeze"
28,Naissus,100,Hardcore,774,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Grizzly Rage, Debilitating Roar, Trample"
29,XplicitSkill,100,Hardcore,801,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
30,snakefist,100,[Dead] Hardcore,801,Druid,"Storm Strike, Shred, Cyclone Armor, Earthen Bulwark, Poison Creeper, Lacerate"
31,íì£,100,Hardcore,810,Sorcerer,"Ice Armor, Flame Shield, Inferno, Ice Shards, Teleport, Frost Nova"
32,unsteddy,100,[Dead] Hardcore,810,Sorcerer,"Flame Shield, Ice Shards, Ice Armor, Teleport, Frost Nova, Meteor"
33,Xiru,100,[Dead] Hardcore,798,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
34,PoELite,100,[Dead] Hardcore,810,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Wolves, Debilitating Roar, Grizzly Rage"
35,Galathrel,100,[Dead] Hardcore,790,Rogue,"Puncture, Twisting Blades, Poison Trap, Shadow Step, Concealment, Death Trap"
36,rrBADASS,100,[Dead] Hardcore,806,Rogue,"Twisting Blades, Puncture, Shadow Step, Poison Trap, Shadow Clone, Poison Imbuement"
37,Neato,100,Hardcore,808,Rogue,"Puncture, Twisting Blades, Shadow Step, Dash, Poison Trap, Death Trap"
38,SaintMichael,100,Hardcore,801,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
39,Citrina,100,Hardcore,798,Sorcerer,"Flame Shield, Ice Shards, Frost Nova, Inferno, Teleport, Ice Armor"
40,Boh,100,Hardcore,808,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Debilitating Roar, Trample, Grizzly Rage"
41,Jyuzi,100,Hardcore,805,Rogue,"Puncture, Twisting Blades, Shadow Step, Poison Trap, Dash, Death Trap"
42,youtubHorror,100,Hardcore,805,Barbarian,"Lunging Strike, Hammer of the Ancients, Rallying Cry, Challenging Shout, Iron Skin, Steel Grasp"
43,Defcon,100,Hardcore,809,Druid,"Claw, Blood Howl, Rabies, Wolves, Poison Creeper, Ravens"
44,Siralia,100,Hardcore,800,Necromancer,"Hemorrhage, Blood Surge, Blood Wave, Iron Maiden, Blood Mist, Decrepify"
45,bunger,100,Hardcore,810,Rogue,"Shadow Imbuement, Rapid Fire, Shadow Clone, Dash, Shadow Step, Poison Trap"
46,rhox,100,[Dead] Hardcore,797,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
47,spin,100,Hardcore,790,Barbarian,"Lunging Strike, Hammer of the Ancients, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
48,Etup,100,Hardcore,794,Druid,"Earthen Bulwark, Maul, Grizzly Rage, Pulverize, Trample, Cyclone Armor"
49,Oskar,100,Hardcore,748,Druid,"Storm Strike, Pulverize, Trample, Debilitating Roar, Earthen Bulwark, Grizzly Rage"
50,Atoba,100,Hardcore,804,Barbarian,"Whirlwind, Lunging Strike, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
51,Nezza,100,[Dead] Hardcore,796,Sorcerer,"Ice Armor, Ice Shards, Teleport, Flame Shield, Frost Nova, Inferno"
52,RennyRentier,100,Hardcore,778,Sorcerer,"Ice Shards, Inferno, Teleport, Frost Nova, Ice Armor, Flame Shield"
53,Yarig,100,Hardcore,826,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
54,Wez,100,[Dead] Hardcore,795,Sorcerer,"Arc Lash, Ball Lightning, Ice Armor, Unstable Currents, Frost Nova, Teleport"
55,Benmione,100,[Dead] Hardcore,770,Sorcerer,"Fire Bolt, Ice Shards, Teleport, Ice Armor, Flame Shield, Frost Nova"
56,Merci,100,Hardcore,811,Sorcerer,"Ice Armor, Firewall, Inferno, Frost Nova, Teleport, Flame Shield"
57,Odang,100,[Dead] Hardcore,793,Barbarian,"Flay, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
